date,ranking,name,country,url,points,tournaments
08.09.2014,178,"Llodra, Michael",FRA,/Tennis/Players/Top-Players/Michael-Llodra.aspx,291,12
08.09.2014,179,"Michon, Axel",FRA,/Tennis/Players/Mi/A/Axel-Michon.aspx,287,28
08.09.2014,180,"Chung, Hyeon",KOR,/Tennis/Players/Ch/H/Hyeon-Chung.aspx,285,22
08.09.2014,181,"Kokkinakis, Thanasi",AUS,/Tennis/Players/Ko/T/Thanasi-Kokkinakis.aspx,283,21
08.09.2014,182,"Harrison, Ryan",USA,/Tennis/Players/Top-Players/Ryan-Harrison.aspx,282,24
08.09.2014,183,"Pospisil, Jaroslav",CZE,/Tennis/Players/Po/J/Jaroslav-Pospisil.aspx,282,26
08.09.2014,184,"Kuznetsov, Alex",USA,/Tennis/Players/Ku/A/Alex-Kuznetsov.aspx,280,25
08.09.2014,185,"Sorensen, Louk",IRL,/Tennis/Players/So/L/Louk-Sorensen.aspx,279,18
08.09.2014,186,"Londero, Juan Ignacio",ARG,/Tennis/Players/Lo/J/Juan-Ignacio-Londero.aspx,278,23
08.09.2014,187,"Albot, Radu",MDA,/Tennis/Players/Al/R/Radu-Albot.aspx,275,26
08.09.2014,188,"Zhang, Ze",CHN,/Tennis/Players/Zh/Z/Ze-Zhang.aspx,274,24
08.09.2014,189,"Clezar, Guilherme",BRA,/Tennis/Players/Cl/G/Guilherme-Clezar.aspx,274,23
08.09.2014,190,"Huta Galung, Jesse",NED,/Tennis/Players/Hu/J/Jesse-Huta-Galung.aspx,272,29
08.09.2014,191,"Bachinger, Matthias",GER,/Tennis/Players/Ba/M/Matthias-Bachinger.aspx,270,23
08.09.2014,192,"Mecir, Miloslav",SVK,/Tennis/Players/Me/M/Miloslav-Mecir.aspx,268,20
08.09.2014,193,"Smith, John-Patrick",AUS,/Tennis/Players/Sm/J/John-Patrick-Smith.aspx,267,23
08.09.2014,194,"Ghem, Andre",BRA,/Tennis/Players/Gh/A/Andre-Ghem.aspx,264,28
08.09.2014,195,"McGee, James",IRL,/Tennis/Players/Mc/J/James-Mcgee.aspx,263,23
08.09.2014,196,"Kubler, Jason",AUS,/Tennis/Players/Ku/J/Jason-Kubler.aspx,261,25
08.09.2014,197,"Lama, Gonzalo",CHI,/Tennis/Players/La/G/Gonzalo-Lama.aspx,260,22
08.09.2014,198,"Arnaboldi, Andrea",ITA,/Tennis/Players/Ar/A/Andrea-Arnaboldi.aspx,259,27
08.09.2014,199,"Alund, Martin",ARG,/Tennis/Players/Al/M/Martin-Alund.aspx,259,31
08.09.2014,200,"Burquier, Gregoire",FRA,/Tennis/Players/Bu/G/Gregoire-Burquier.aspx,254,27
08.09.2014,201,"Dutra Silva, Rogerio",BRA,/Tennis/Players/Du/R/Rogerio-Dutra-Silva.aspx,250,22
08.09.2014,202,"Guez, David",FRA,/Tennis/Players/Gu/D/David-Guez.aspx,248,25
08.09.2014,203,"Ignatik, Uladzimir",BLR,/Tennis/Players/Ig/U/Uladzimir-Ignatik.aspx,245,30
08.09.2014,204,"Williams, Rhyne",USA,/Tennis/Players/Wi/R/Rhyne-R-Williams.aspx,244,21
08.09.2014,205,"Wu, Di",CHN,/Tennis/Players/Wu/D/Di-Wu.aspx,242,23
08.09.2014,206,"Davydenko, Nikolay",RUS,/Tennis/Players/Top-Players/Nikolay-Davydenko.aspx,240,15
08.09.2014,207,"Puetz, Tim",GER,/Tennis/Players/Pu/T/Tim-Puetz.aspx,240,20
08.09.2014,208,"Desein, Niels",BEL,/Tennis/Players/De/N/Niels-Desein.aspx,240,28
08.09.2014,209,"Ginepri, Robby",USA,/Tennis/Players/Gi/R/Robby-Ginepri.aspx,234,15
08.09.2014,210,"Fischer, Martin",AUT,/Tennis/Players/Fi/M/Martin-Fischer.aspx,231,23
08.09.2014,211,"Marti, Yann",SUI,/Tennis/Players/Ma/Y/Yann-Marti.aspx,229,22
08.09.2014,212,"Lopez-Perez, Enrique",ESP,/Tennis/Players/Lo/E/Enrique-Lopez-Perez.aspx,229,36
